,word,freq_count
477,Fundy Park,1
690,Moncton,1
688,Wood Buffalo,1
680,Ireland,1
670,Midland National Park,1
660,Nairn Falls,1
659,Pemberton,1
658,Whistler,1
656,Sea,1
653,Point Pelee National Park,1
646,Lynn Canyon,1
645,West Lion,1
643,Joffre Lakes,1
642,Coquihalla,1
641,Hope,1
640,Needle Peak,1
627,Kilarney,1
624,Lake Superier Park,1
622,Huron Shelter,1
621,ON Algonquin Park,1
620,Achray,1
619,Eastern Pines,1
616,Cape,1
615,Quesnel,1
698,Grasslands National Park,1
702,Morne,1
703,Quebec Labrador Quebec City Montreal Ottawa Toronto,1
705,Eastern Alberta,1
783,Flower Pot Island,1
778,New Zealand,1
774,Louisburg,1
772,Cavendish,1
769,Grass Lands,1
767,Can,1
763,Nahanni National Park,1
762,Detroit Toronto,1
760,Bruce Penn,1
756,Victoria,1
752,Japan,1
614,Barkerville,1
751,Russia,1
739,Rocky Mountain,1
734,Pointe Wolf,1
732,Gold Creek,1
723,Highland Village,1
722,Louisberg,1
719,Headquarters,1
718,Chignecto,1
717,Point Wolfe,1
715,Fundy NP,1
713,East Kootenay,1
712,Fisher Peak,1
743,Imo Banff,1
789,Anse aux Meadows National Historic Site,1
613,Alaska,1
610,Smithers,1
481,Jasper National,1
1110,Dauphin,1
476,Louise,1
471,South Eastern BC,1
461,Wasagaming,1
454,British Columbia,1
449,Georgian,1
440,Field,1
421,Morris Island Conservation Area,1
420,Pingual,1
419,Ping,1
418,Pingualuit Park,1
417,North,1
416,Inuit,1
415,Nunavik,1
414,Northern Québec,1
404,Jasper Banff,1
402,Mountains,1
401,Fathom,1
400,Scuba Diving,1
399,Pei National Park,1
398,Beach,1
395,Canadian National Parks,1
491,List,1
493,Nahanni,1
496,Writing,1
500,Stone,1
606,The Coastal Trail,1
605,Orphan Lake,1
600,Saguenay Fjords National Park,1
597,Wawa,1
593,Gaspe Quebec,1
587,Peter,1
575,Tyrell Museum,1
571,Beaver Hills Dark Sky Reserve,1
557,Bruce,1
556,Fathom Five,1
542,Prince of Wales,1
612,Hyder,1
539,Nahann,1
533,Zanzibar,1
524,Parc National de la Mauricie,1
523,Saguenay Estuary,1
522,Laurent,1
519,Le Bic,1
518,Quebecois,1
515,Keji ku,1
514,Revelstoke,1
510,Lake,1
508,Valhalla Provencal,1
507,Rouge National Urban Park,1
536,Banff And Jasper National Park,1
799,on Stone Provincial Park,1
800,UNESCO Heritage Site,1
802,Southern Alberta,1
988,Conservative Party of Canada,1
985,Fort McMurray,1
984,Robin,1
983,Six Nations,1
982,Haldimand,1
981,Paris,1
979,Laurier,1
968,Liberal,1
966,ZEC,1
963,Gulf Islands National Park Reserve,1
961,Athabasca Sand Dunes,1
958,AFA,1
955,Crown Land,1
951,Grand River Conservation Authority,1
949,Kelowna,1
942,Hoodoo Trail,1
941,Horseshoe Canyon,1
939,Midland Provincial Park,1
934,Longford Reserve Ltd,1
933,Cleveland,1
930,Longford Township,1
928,Scarborough Bluffs,1
927,Canada Day,1
996,Grand River Haldimand Tract,1
1000,Province,1
1002,Okanagan,1
1005,Justin Trudeau,1
1102,Lake Magog,1
1098,Writing on Stone Provincial Park,1
1092,water,1
1091,Castle Wildlands Provincial Park,1
1089,Akamina Ridge,1
1088,s Hu,1
1085,. Crandel,1
1083,s Hump,1
1073,Gulf of St Lawrence,1
1071,Kouchibouguac National Park,1
1070,Indian,1
926,Lake Huron,1
1064,Provin,1
1061,Petawawa River,1
1056,Long Range Traverse,1
1045,Riding Mountain National,1
1041,Gros Morne National Park,1
1034,Canadian Rocky Mountains,1
1030,Peter Lougheed,1
1023,Glacier National,1
1014,Glacier NP,1
1012,Akamina Kishinena,1
1011,Waterton National Park,1
1006,Conservative,1
1063,Mount Assiniboine,1
925,Blue,1
923,Point Edward,1
922,Canaterra Park,1
850,Mt Robson,1
846,Continental,1
844,Kananaskis,1
843,NCC,1
838,Athabasca,1
837,Sleeping Giant,1
830,Collingwood,1
829,Niagara,1
828,Kananask,1
824,Badlands Provincial Park,1
823,SW Ontario,1
851,B C,1
822,Barron Canyon Trail,1
815,South Okanagan,1
814,Cypress Hills,1
813,Algonquin Provincial Park,1
812,Cacti,1
811,Yucca,1
810,Pack Rats,1
809,Kangaroo Rat,1
807,Northern Scorpions,1
806,Black Widow Spiders,1
805,Great Horned Lizards,1
804,Rattlesnakes,1
816,Grand River,1
386,Grass Lands National Park,1
852,Canadian Rockies,1
858,Eastern,1
920,Parliament Hill,1
919,Navy,1
911,Philip Edward Island,1
910,Grand Canyon,1
909,Niagara Falls,1
908,BC QC Ontario,1
906,Onaping Falls,1
905,Pigeon Park,1
899,African Wild Safari,1
898,Zoo,1
896,Safari,1
855,Gulf Islands,1
894,Brampton,1
891,Robson,1
889,bug,1
886,Salmon Glacier,1
884,Richmond,1
883,Mount Saskatchewan,1
879,Ford,1
877,s Park,1
875,Queen,1
864,Point Roberts,1
862,USA,1
861,Downtown Toronto,1
893,Streis,1
376,Pacific Rim National Park Reserve,1
1111,Petawawa,1
373,Lakes,1
88,World Heritage Site,1
232,Yellowhead,1
230,Elk Island N,1
229,Les Loups,1
228,Cartier,1
226,national de la Jacques,1
234,Crandell,1
90,Rouge National Park,1
220,Writing on Stone,1
92,Ontario Kluane NP,1
94,Jasper NP,1
96,Nahanni National Park NWT,1
215,Kejimkujik Seaside Adjunct,1
97,Deadman,1
91,Georgian Bay Islands NP,1
98,Marie Curtis Park,1
235,For,1
238,Gros Mo,1
71,Archipel de Mingan National Park Reserve,1
73,North Shore,1
140,s Throne,1
264,Auyu,1
78,Alexander Graham Bell,1
80,American Rockies,1
86,NL Gros Morne,1
253,National Historic Site,1
250,Mt Revelstoke Glacier,1
82,Alps,1
246,Seaside Adjunct,1
244,Kejimku,1
242,Kouchiboug,1
83,Highlands of Scotland,1
81,Andes,1
69,Forillon National Park,1
99,Icefields,1
102,Sea to,1
168,Mayo,1
111,Auyuittuq National Park,1
112,Baffin,1
113,Canadian Holy Grail,1
161,Charlotte,1
156,. Assiniboine Provincial Park,1
169,Territory,1
117,Kicking Horse,1
375,Long Beach,1
118,Trans Canada,1
122,Gwaii Haanas,1
124,The Golden Spruce,1
129,Wapusk,1
131,Maritimes,1
149,Halifax,1
101,Columbia Icefields,1
170,Rivière du Loup,1
180,Gaelic,1
210,Fathom Five National Marine Park,1
208,Stanhope,1
204,Mingan Archipelago,1
200,Gaspe Peninsula,1
108,Elk,1
110,Far North,1
173,Jasper National Park,1
195,Fjord,1
192,Cheticamp,1
191,Skyline Trail,1
187,Chris Tyns,1
184,North America,1
182,Alexander Graham Bell Museum,1
181,Fortress of Louisbourgh,1
193,Saguenay,1
266,Pangnirtung,1
74,Cape Breton Highlands National Parks,1
65,Tombstone Territorial,1
29,Lake O,1
315,Bruce Pennisula,1
28,Assiniboine,1
25,Inuit Bear,1
319,Georgian Bay Islands,1
322,Western Brook,1
24,Parks Canada,1
329,Disney World,1
331,Jasper & Banff,1
332,Glacier National Park,1
20,Torngats National Park,1
18,Beaver,1
31,Hara,1
15,Elfin Lakes,1
13,Cheakamus,1
343,Rocky Mountain Alberta,1
355,Prince Albert National Park,1
359,Banff Springs,1
360,Sulphur Mountain,1
362,Lake Minnewaka,1
363,Radium Hot Springs,1
365,Spiral Tunnels,1
368,Crowsnest Pass,1
369,US Glacier National Park,1
4,Provincial Parks,1
3,Earth,1
14,Wedgemount,1
312,That,1
328,Canadiens,1
32,Assiniboi,1
267,Baffin Island,1
272,gwai,1
61,Kluane National Park,1
274,Torngat Mountains,1
50,Columbia Icefield,1
49,Athabasca Falls,1
310,National parks of Canada,1
284,Provincial,1
287,Bon Echo,1
41,Haida Watchmen,1
40,Sa Gang Gway,1
39,Haida Village,1
138,King,1
34,Mt Assiniboine Provincial Park,1
302,La Mauricie,1
35,Gwaii Haanas National Park,1
290,Trail,1
289,Cab,1
38,Rose Harbour,1
104,Sky,2
8,Garibaldi Lake,2
7,Garibaldi Provincial Park,2
826,Dinosaur,2
115,Takakkaw Falls,2
937,Badlands,2
990,Conservatives,2
62,Shepherd,2
64,s Knoll,2
1097,Dinosaur PP,2
2,Icefields Parkway,2
1104,Assinib,2
1013,Waterton NP,2
944,Indigenous,2
831,Ontario Place,2
856,Greenbelt,2
1086,Bear,2
10,Black Tusk,2
832,Doug Ford,2
974,Rocky Mountains,2
1062,Tornga,2
978,Brantford,2
1049,Athabasca Sand Dunes Provincial Park,2
916,Southern Ontario,2
848,Canadians,2
9,Panorama Ridge,2
147,Forillon,2
563,Montreal,2
699,NFLD,2
209,Bruce Peninsula National Park,2
502,Strathcona,2
662,Seton Lake,2
661,Lillooet,2
513,Iceline Trail,2
308,Gros Morne Mountain,2
307,Trout River Pond,2
316,Pukaskwa,2
525,Québec,2
236,PEI National Park,2
611,Stewart,2
251,IMO,2
282,s Head,2
280,Lion,2
595,Manitoulin Island,2
592,Forillion National Park,2
589,Pacific,2
224,Quebec City,2
213,Kouchibouguac,2
141,Klu,2
423,Yoho National Park,2
796,Wisconsin,2
757,Great Lakes,2
422,Ottawa,2
341,Kluane,2
378,Torngat Mountains National Park,2
162,Greenwich,2
403,Waterton Lakes National Park,2
372,Yoho National,2
143,Tombstone,2
549,Grasslands,3
599,American,3
52,Prince Edward Island National Park,3
317,Thousand Islands,3
552,PEI,3
580,Cathedral Grove,3
55,Provincial Park,3
277,Green Gardens,3
801,First Nations,3
361,Lake Louise,3
70,Gaspé,3
239,Tablelands,3
623,Gatineau Park,3
776,Drumhell,3
333,Montana,3
114,Emerald Lake,3
578,Golden Ears,3
22,Labrador,3
574,Drumheller,3
43,Riding Mountain National Park,4
532,Bruce Peninsula,4
318,Point Pelee,4
54,Algonquin Park,4
136,Lake Superior Provincial Park,4
1,Banff Jasper,4
569,Saskatchewan,4
67,Yukon,4
214,New Brunswick,4
105,Garibaldi,5
42,Vancouver Island,5
706,Dinosaur Provincial Park,5
537,GTA,5
76,Cabot Trail,5
75,Nova Scotia,5
217,National Park,5
946,Edmonton,5
68,Waterton Lakes,5
873,Toronto,6
36,Haida Gwaii,6
127,Riding Mountain,6
212,Fundy,6
345,Glacier,6
342,Fundy National Park,6
338,Kootenay,6
125,Vancouver,6
1029,National,7
163,Park,7
16,Elk Island,7
196,National Parks,7
44,Manitoba,7
72,Quebec,8
388,Calgary,8
294,Newfoundland,9
23,Canadian,9
249,Rockies,9
135,Killarney,10
53,Cape Breton,11
77,Cape Breton Highlands,11
385,Pacific Rim,12
393,Waterton,17
405,Algonquin,17
356,Gros Morne,22
119,Yoho,25
134,Ontario,27
17,Alberta,31
59,Jasper,35
57,Canada,35
58,Banff,46
